Survived,Pclass,SibSp,Fare,Age_bin,Ticket_freq,16,24,25,27,60
0,3,1,7,2,1,1.0,1.0,0.0,0.0,1.0
1,1,1,71,7,2,0.0,0.0,1.0,1.0,0.0
1,3,0,7,4,1,0.0,0.0,1.0,1.0,0.0
1,1,1,53,6,2,0.0,0.0,1.0,1.0,0.0
0,3,0,8,6,1,1.0,1.0,0.0,0.0,1.0
0,3,0,8,7,1,1.0,1.0,0.0,0.0,1.0
0,1,0,51,9,2,1.0,1.0,0.0,0.0,1.0
0,3,3,21,0,5,0.0,1.0,0.0,0.0,0.0
1,3,0,11,4,3,0.0,0.0,1.0,1.0,0.0
1,2,1,30,0,2,0.0,0.0,1.0,1.0,0.0
1,3,1,16,0,3,0.0,0.0,1.0,1.0,0.0
1,1,0,26,9,1,0.0,0.0,1.0,1.0,0.0
0,3,0,8,2,1,1.0,1.0,0.0,0.0,1.0
0,3,1,31,7,7,1.0,1.0,0.0,0.0,1.0
0,3,0,7,0,1,0.0,0.0,1.0,1.0,0.0
1,2,0,16,9,1,0.0,0.0,1.0,1.0,0.0
0,3,4,29,0,6,0.0,1.0,0.0,0.0,0.0
1,2,0,13,3,1,1.0,1.0,0.0,0.0,1.0
0,3,1,18,5,2,0.0,0.0,1.0,1.0,0.0
1,3,0,7,4,1,0.0,0.0,1.0,1.0,0.0
0,2,0,26,6,2,1.0,1.0,0.0,0.0,1.0
1,2,0,13,6,1,1.0,1.0,0.0,0.0,1.0
1,3,0,8,0,1,0.0,0.0,1.0,1.0,0.0
1,1,0,35,4,1,1.0,1.0,0.0,0.0,1.0
0,3,3,21,0,5,0.0,0.0,1.0,1.0,0.0
1,3,1,31,7,7,0.0,0.0,1.0,1.0,0.0
0,3,0,7,3,1,1.0,1.0,0.0,0.0,1.0
0,1,3,263,1,6,1.0,1.0,0.0,0.0,1.0
1,3,0,7,3,1,0.0,0.0,1.0,1.0,0.0
0,3,0,7,6,1,1.0,1.0,0.0,0.0,1.0
0,1,0,27,7,1,0.0,1.0,0.0,0.0,0.0
1,1,1,146,8,3,0.0,0.0,1.0,1.0,0.0
1,3,0,7,3,1,0.0,0.0,1.0,1.0,0.0
0,2,0,10,9,1,1.0,1.0,0.0,0.0,1.0
0,1,1,82,4,2,1.0,1.0,0.0,0.0,1.0
0,1,1,52,8,2,1.0,1.0,0.0,0.0,1.0
1,3,0,7,0,1,1.0,1.0,0.0,0.0,1.0
0,3,0,8,2,1,1.0,1.0,0.0,0.0,1.0
0,3,2,18,1,2,0.0,0.0,1.0,1.0,0.0
1,3,1,11,0,2,0.0,0.0,1.0,1.0,0.0
0,3,1,9,7,1,0.0,0.0,1.0,1.0,0.0
0,2,1,21,4,2,0.0,0.0,1.0,1.0,0.0
0,3,0,7,6,1,1.0,1.0,0.0,0.0,1.0
1,2,1,41,0,4,0.0,0.0,1.0,1.0,0.0
1,3,0,7,1,1,0.0,0.0,1.0,1.0,0.0
0,3,0,8,2,1,1.0,1.0,0.0,0.0,1.0
0,3,1,15,8,2,1.0,1.0,0.0,0.0,1.0
1,3,0,7,7,1,0.0,0.0,1.0,1.0,0.0
0,3,2,21,7,3,1.0,1.0,0.0,0.0,1.0
0,3,1,17,1,2,0.0,0.0,1.0,1.0,0.0
0,3,4,39,0,7,0.0,1.0,0.0,0.0,0.0
0,3,0,7,2,1,1.0,1.0,0.0,0.0,1.0
1,1,1,76,9,3,0.0,0.0,1.0,1.0,0.0
1,2,1,26,5,2,0.0,0.0,1.0,1.0,0.0
0,1,0,61,9,2,1.0,1.0,0.0,0.0,1.0
1,1,0,35,8,1,1.0,1.0,0.0,0.0,1.0
1,2,0,10,2,1,0.0,0.0,1.0,1.0,0.0
0,3,0,7,4,1,1.0,1.0,0.0,0.0,1.0
1,2,1,27,0,4,0.0,0.0,1.0,1.0,0.0
0,3,5,46,0,8,0.0,1.0,0.0,0.0,0.0
0,3,0,7,2,1,1.0,1.0,0.0,0.0,1.0
1,1,0,80,7,2,0.0,0.0,1.0,1.0,0.0
0,1,1,83,8,2,1.0,1.0,0.0,0.0,1.0
0,3,3,27,0,6,0.0,1.0,0.0,0.0,0.0
0,1,0,27,0,1,1.0,1.0,0.0,0.0,1.0
1,3,1,15,4,3,0.0,1.0,0.0,0.0,0.0
1,2,0,10,5,1,0.0,0.0,1.0,1.0,0.0
0,3,0,8,1,1,1.0,1.0,0.0,0.0,1.0
1,3,4,7,1,1,0.0,0.0,1.0,1.0,0.0
0,3,2,8,4,1,1.0,1.0,0.0,0.0,1.0
0,2,0,10,6,1,1.0,1.0,0.0,0.0,1.0
0,3,5,46,0,8,0.0,0.0,1.0,1.0,0.0
0,2,0,73,2,7,1.0,1.0,0.0,0.0,1.0
0,3,1,14,4,2,1.0,1.0,0.0,0.0,1.0
1,3,0,56,6,8,1.0,1.0,0.0,0.0,1.0
0,3,0,7,3,1,1.0,1.0,0.0,0.0,1.0
0,3,0,7,5,1,1.0,1.0,0.0,0.0,1.0
0,3,0,8,0,1,1.0,1.0,0.0,0.0,1.0
1,2,0,29,0,3,0.0,1.0,0.0,0.0,0.0
1,3,0,12,5,2,0.0,0.0,1.0,1.0,0.0
0,3,0,9,2,1,1.0,1.0,0.0,0.0,1.0
1,3,0,9,5,1,1.0,1.0,0.0,0.0,1.0
1,3,0,7,8,1,0.0,0.0,1.0,1.0,0.0
0,1,0,47,4,2,1.0,1.0,0.0,0.0,1.0
1,2,0,10,1,1,0.0,0.0,1.0,1.0,0.0
1,3,3,15,6,2,0.0,0.0,1.0,1.0,0.0
0,3,1,34,0,5,1.0,1.0,0.0,0.0,1.0
0,3,0,8,7,1,1.0,1.0,0.0,0.0,1.0
1,1,3,263,3,6,0.0,0.0,1.0,1.0,0.0
0,3,0,8,3,1,1.0,1.0,0.0,0.0,1.0
0,3,0,8,5,1,1.0,1.0,0.0,0.0,1.0
0,3,0,7,2,1,1.0,1.0,0.0,0.0,1.0
0,1,1,61,8,2,1.0,1.0,0.0,0.0,1.0
0,3,1,20,4,4,1.0,1.0,0.0,0.0,1.0
0,3,0,7,9,1,1.0,1.0,0.0,0.0,1.0
0,3,0,8,3,1,1.0,1.0,0.0,0.0,1.0
0,1,0,34,9,1,1.0,1.0,0.0,0.0,1.0
1,1,0,63,3,2,1.0,1.0,0.0,0.0,1.0
1,2,0,23,6,2,0.0,0.0,1.0,1.0,0.0
0,2,1,26,6,2,1.0,1.0,0.0,0.0,1.0
0,3,0,7,4,1,0.0,0.0,1.0,1.0,0.0
0,3,0,7,7,1,1.0,1.0,0.0,0.0,1.0
0,1,0,77,2,2,1.0,1.0,0.0,0.0,1.0
0,3,0,8,6,1,1.0,1.0,0.0,0.0,1.0
0,3,2,7,7,1,1.0,1.0,0.0,0.0,1.0
0,3,0,7,4,1,1.0,1.0,0.0,0.0,1.0
1,3,0,7,2,1,0.0,0.0,1.0,1.0,0.0
1,3,0,7,1,1,1.0,1.0,0.0,0.0,1.0
0,3,0,7,7,1,1.0,1.0,0.0,0.0,1.0
1,3,1,24,5,3,0.0,0.0,1.0,1.0,0.0
0,1,0,52,8,2,1.0,1.0,0.0,0.0,1.0
0,3,1,14,0,2,0.0,0.0,1.0,1.0,0.0
0,3,0,8,2,1,1.0,1.0,0.0,0.0,1.0
0,3,1,9,2,1,0.0,0.0,1.0,1.0,0.0
0,3,0,14,1,2,0.0,0.0,1.0,1.0,0.0
0,3,0,7,2,1,1.0,1.0,0.0,0.0,1.0
0,3,0,7,9,1,1.0,1.0,0.0,0.0,1.0
0,2,1,21,5,2,1.0,1.0,0.0,0.0,1.0
0,1,0,247,3,3,1.0,1.0,0.0,0.0,1.0
0,3,4,31,0,7,0.0,0.0,1.0,1.0,0.0
0,2,2,73,2,7,1.0,1.0,0.0,0.0,1.0
0,3,0,8,4,1,1.0,1.0,0.0,0.0,1.0
0,2,1,30,6,2,1.0,1.0,0.0,0.0,1.0
1,2,0,13,6,1,0.0,0.0,1.0,1.0,0.0
0,1,0,77,9,2,1.0,1.0,0.0,0.0,1.0
1,3,1,11,0,2,0.0,1.0,0.0,0.0,0.0
0,3,0,7,5,1,1.0,1.0,0.0,0.0,1.0
1,3,0,7,3,1,1.0,1.0,0.0,0.0,1.0
1,3,1,22,2,3,0.0,0.0,1.0,1.0,0.0
0,3,0,6,8,1,1.0,1.0,0.0,0.0,1.0
0,3,0,7,6,1,1.0,1.0,0.0,0.0,1.0
0,3,0,7,2,1,1.0,1.0,0.0,0.0,1.0
0,3,1,14,8,2,0.0,0.0,1.0,1.0,0.0
1,2,1,26,5,2,0.0,0.0,1.0,1.0,0.0
0,2,0,13,3,1,1.0,1.0,0.0,0.0,1.0
0,2,0,15,3,1,1.0,1.0,0.0,0.0,1.0
1,1,0,26,1,1,0.0,0.0,1.0,1.0,0.0
0,1,1,53,7,2,1.0,1.0,0.0,0.0,1.0
0,3,0,9,0,2,1.0,1.0,0.0,0.0,1.0
0,1,0,79,3,2,1.0,1.0,0.0,0.0,1.0
0,3,0,15,4,3,0.0,0.0,1.0,1.0,0.0
1,3,0,7,2,1,0.0,0.0,1.0,1.0,0.0
1,3,1,15,3,2,0.0,0.0,1.0,1.0,0.0
0,3,0,6,1,1,1.0,1.0,0.0,0.0,1.0
0,2,0,11,1,1,1.0,1.0,0.0,0.0,1.0
0,2,1,36,1,4,1.0,1.0,0.0,0.0,1.0
1,3,0,7,4,1,1.0,1.0,0.0,0.0,1.0
0,3,2,34,0,5,0.0,0.0,1.0,1.0,0.0
0,2,0,26,7,3,1.0,1.0,0.0,0.0,1.0
0,2,0,13,8,1,0.0,1.0,0.0,0.0,0.0
0,2,0,12,9,1,0.0,1.0,0.0,0.0,0.0
1,1,1,66,2,2,0.0,0.0,1.0,1.0,0.0
0,3,0,8,9,1,1.0,1.0,0.0,0.0,1.0
0,3,0,14,7,3,1.0,1.0,0.0,0.0,1.0
0,3,0,7,7,1,1.0,1.0,0.0,0.0,1.0
0,1,0,61,9,2,1.0,1.0,0.0,0.0,1.0
1,3,0,7,0,1,0.0,0.0,1.0,1.0,0.0
0,3,0,8,5,1,1.0,1.0,0.0,0.0,1.0
0,3,0,8,3,1,1.0,1.0,0.0,0.0,1.0
0,3,8,69,1,11,0.0,1.0,0.0,0.0,0.0
0,3,0,16,8,2,1.0,1.0,0.0,0.0,1.0
1,2,0,15,7,2,0.0,0.0,1.0,1.0,0.0
0,3,0,7,4,1,1.0,1.0,0.0,0.0,1.0
0,3,0,8,1,1,1.0,1.0,0.0,0.0,1.0
0,3,4,39,0,7,0.0,1.0,0.0,0.0,0.0
1,3,0,20,0,3,0.0,1.0,0.0,0.0,0.0
1,1,0,55,4,2,0.0,0.0,1.0,1.0,0.0
0,3,1,27,8,6,0.0,0.0,1.0,1.0,0.0
0,1,0,25,7,1,1.0,1.0,0.0,0.0,1.0
0,3,0,56,4,8,1.0,1.0,0.0,0.0,1.0
0,1,0,33,9,1,1.0,1.0,0.0,0.0,1.0
0,3,4,29,0,6,0.0,1.0,0.0,0.0,0.0
1,3,1,11,0,3,0.0,0.0,1.0,1.0,0.0
0,3,0,7,2,1,1.0,1.0,0.0,0.0,1.0
0,1,0,30,9,1,1.0,1.0,0.0,0.0,1.0
0,3,1,7,1,1,1.0,1.0,0.0,0.0,1.0
0,3,3,25,7,5,0.0,1.0,0.0,0.0,0.0
0,1,0,28,9,1,0.0,0.0,1.0,1.0,0.0
0,2,0,13,5,1,1.0,1.0,0.0,0.0,1.0
0,3,0,0,7,4,1.0,1.0,0.0,0.0,1.0
0,3,8,69,6,11,0.0,0.0,1.0,1.0,0.0
0,2,0,15,5,1,1.0,1.0,0.0,0.0,1.0
0,3,4,31,0,7,0.0,1.0,0.0,0.0,0.0
1,2,2,39,0,4,0.0,1.0,0.0,0.0,0.0
1,3,0,22,0,3,0.0,0.0,1.0,1.0,0.0
0,1,0,50,7,1,1.0,1.0,0.0,0.0,1.0
1,3,1,15,8,2,0.0,0.0,1.0,1.0,0.0
1,1,0,26,8,1,1.0,1.0,0.0,0.0,1.0
0,3,1,15,7,2,1.0,1.0,0.0,0.0,1.0
0,3,0,7,7,1,1.0,1.0,0.0,0.0,1.0
1,2,0,13,6,1,0.0,0.0,1.0,1.0,0.0
0,2,0,13,1,1,1.0,1.0,0.0,0.0,1.0
1,3,1,7,1,1,0.0,0.0,1.0,1.0,0.0
1,2,1,26,0,3,0.0,1.0,0.0,0.0,0.0
1,1,0,27,8,1,0.0,0.0,1.0,1.0,0.0
1,1,0,146,9,3,0.0,0.0,1.0,1.0,0.0
0,3,0,7,6,1,1.0,1.0,0.0,0.0,1.0
0,3,0,8,8,1,1.0,1.0,0.0,0.0,1.0
1,3,0,7,3,1,0.0,0.0,1.0,1.0,0.0
0,2,0,13,3,1,0.0,0.0,1.0,1.0,0.0
0,3,0,9,4,1,1.0,1.0,0.0,0.0,1.0
0,3,8,69,4,11,1.0,1.0,0.0,0.0,1.0
0,3,0,6,6,1,1.0,1.0,0.0,0.0,1.0
0,3,0,7,8,1,1.0,1.0,0.0,0.0,1.0
1,3,0,8,1,1,1.0,1.0,0.0,0.0,1.0
0,3,0,10,0,2,0.0,0.0,1.0,1.0,0.0
0,3,1,15,6,2,1.0,1.0,0.0,0.0,1.0
1,3,0,18,4,2,1.0,1.0,0.0,0.0,1.0
1,3,0,7,0,1,0.0,0.0,1.0,1.0,0.0
1,1,0,31,7,1,1.0,1.0,0.0,0.0,1.0
0,3,0,7,3,1,1.0,1.0,0.0,0.0,1.0
1,2,0,21,6,2,0.0,0.0,1.0,1.0,0.0
0,3,0,7,2,1,1.0,1.0,0.0,0.0,1.0
0,2,0,13,5,1,1.0,1.0,0.0,0.0,1.0
0,3,1,7,8,1,1.0,1.0,0.0,0.0,1.0
1,1,1,113,5,3,0.0,0.0,1.0,1.0,0.0
1,3,0,7,4,1,0.0,0.0,1.0,1.0,0.0
0,2,1,27,8,2,1.0,1.0,0.0,0.0,1.0
1,1,0,76,6,2,0.0,0.0,1.0,1.0,0.0
0,2,0,10,5,1,1.0,1.0,0.0,0.0,1.0
1,3,0,8,0,1,1.0,1.0,0.0,0.0,1.0
0,2,0,13,4,1,1.0,1.0,0.0,0.0,1.0
0,3,0,8,9,1,1.0,1.0,0.0,0.0,1.0
0,3,0,7,3,1,1.0,1.0,0.0,0.0,1.0
1,1,1,90,7,2,1.0,1.0,0.0,0.0,1.0
0,3,0,9,2,1,1.0,1.0,0.0,0.0,1.0
1,2,0,10,1,1,1.0,1.0,0.0,0.0,1.0
0,3,0,7,2,1,1.0,1.0,0.0,0.0,1.0
0,2,0,13,1,1,1.0,1.0,0.0,0.0,1.0
0,3,3,25,7,5,0.0,0.0,1.0,1.0,0.0
1,1,1,83,6,2,0.0,0.0,1.0,1.0,0.0
0,3,0,7,5,1,1.0,1.0,0.0,0.0,1.0
0,2,0,13,9,1,1.0,1.0,0.0,0.0,1.0
1,3,4,31,0,7,0.0,0.0,1.0,1.0,0.0
0,2,0,10,3,1,1.0,1.0,0.0,0.0,1.0
0,3,0,7,2,1,0.0,0.0,1.0,1.0,0.0
0,2,1,26,8,2,1.0,1.0,0.0,0.0,1.0
1,2,0,26,0,3,0.0,0.0,1.0,1.0,0.0
0,2,0,10,1,1,1.0,1.0,0.0,0.0,1.0
0,2,0,12,6,1,1.0,1.0,0.0,0.0,1.0
0,3,1,14,3,2,0.0,0.0,1.0,1.0,0.0
1,3,1,15,8,2,0.0,0.0,1.0,1.0,0.0
0,2,0,10,5,1,1.0,1.0,0.0,0.0,1.0
0,3,0,7,2,1,1.0,1.0,0.0,0.0,1.0
0,3,0,7,5,1,1.0,1.0,0.0,0.0,1.0
0,1,2,90,8,3,0.0,1.0,0.0,0.0,0.0
0,3,0,7,3,1,0.0,0.0,1.0,1.0,0.0
1,2,0,14,3,2,0.0,0.0,1.0,1.0,0.0
1,1,1,52,7,2,1.0,1.0,0.0,0.0,1.0
0,2,1,26,9,2,0.0,1.0,0.0,0.0,0.0
0,3,0,7,3,1,1.0,1.0,0.0,0.0,1.0
0,3,1,10,5,2,0.0,0.0,1.0,1.0,0.0
0,1,0,26,9,1,1.0,1.0,0.0,0.0,1.0
0,3,1,16,5,2,1.0,1.0,0.0,0.0,1.0
0,3,0,20,8,3,0.0,0.0,1.0,1.0,0.0
1,3,0,15,5,3,0.0,0.0,1.0,1.0,0.0
1,1,0,79,0,2,0.0,0.0,1.0,1.0,0.0
1,1,0,86,5,3,0.0,0.0,1.0,1.0,0.0
1,1,0,512,6,4,0.0,0.0,1.0,1.0,0.0
1,2,0,26,9,2,0.0,0.0,1.0,1.0,0.0
0,3,0,7,6,1,1.0,1.0,0.0,0.0,1.0
1,3,4,31,0,7,0.0,1.0,0.0,0.0,0.0
0,1,1,79,9,3,1.0,1.0,0.0,0.0,1.0
0,1,0,0,7,1,1.0,1.0,0.0,0.0,1.0
0,3,0,7,7,1,0.0,0.0,1.0,1.0,0.0
0,2,0,10,7,1,1.0,1.0,0.0,0.0,1.0
0,3,4,39,0,7,1.0,1.0,0.0,0.0,1.0
1,3,1,7,3,1,1.0,1.0,0.0,0.0,1.0
1,1,0,153,9,3,0.0,0.0,1.0,1.0,0.0
1,1,0,135,6,4,0.0,0.0,1.0,1.0,0.0
0,1,0,31,7,2,1.0,1.0,0.0,0.0,1.0
1,3,0,0,3,4,1.0,1.0,0.0,0.0,1.0
1,2,0,19,8,2,0.0,0.0,1.0,1.0,0.0
0,1,0,29,7,1,1.0,1.0,0.0,0.0,1.0
1,3,0,7,7,1,0.0,0.0,1.0,1.0,0.0
1,1,1,77,9,3,0.0,0.0,1.0,1.0,0.0
0,3,0,7,8,1,0.0,0.0,1.0,1.0,0.0
0,2,0,0,3,3,1.0,1.0,0.0,0.0,1.0
0,3,4,29,0,6,0.0,1.0,0.0,0.0,0.0
1,3,1,20,6,3,0.0,0.0,1.0,1.0,0.0
0,3,0,7,9,1,1.0,1.0,0.0,0.0,1.0
0,3,0,7,4,1,1.0,1.0,0.0,0.0,1.0
0,3,0,9,0,1,1.0,1.0,0.0,0.0,1.0
1,3,0,8,1,1,1.0,1.0,0.0,0.0,1.0
0,1,0,26,1,1,1.0,1.0,0.0,0.0,1.0
0,3,0,8,6,1,1.0,1.0,0.0,0.0,1.0
1,3,0,9,5,1,1.0,1.0,0.0,0.0,1.0
0,3,0,7,2,1,1.0,1.0,0.0,0.0,1.0
1,2,0,13,8,1,1.0,1.0,0.0,0.0,1.0
1,3,0,7,2,1,0.0,0.0,1.0,1.0,0.0
1,1,0,78,4,3,0.0,0.0,1.0,1.0,0.0
1,1,1,91,1,2,0.0,0.0,1.0,1.0,0.0
0,2,0,12,7,1,1.0,1.0,0.0,0.0,1.0
0,3,0,8,3,1,0.0,0.0,1.0,1.0,0.0
0,3,0,7,3,1,1.0,1.0,0.0,0.0,1.0
0,1,0,27,7,1,1.0,1.0,0.0,0.0,1.0
