,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Embarked,Deck,Title
0,0,3,"Braund, Mr. Owen Harris",0,22,1,0,7,0,8,Mr
1,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",1,38,1,0,71,1,3,Mrs
2,1,3,"Heikkinen, Miss. Laina",1,26,0,0,7,0,8,Miss
3,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",1,35,1,0,53,0,3,Mrs
4,0,3,"Allen, Mr. William Henry",0,35,0,0,8,0,8,Mr
5,0,3,"Moran, Mr. James",0,19,0,0,8,2,8,Mr
6,0,1,"McCarthy, Mr. Timothy J",0,54,0,0,51,0,5,Mr
7,0,3,"Palsson, Master. Gosta Leonard",0,2,3,1,21,0,8,Master
8,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",1,27,0,2,11,0,8,Mrs
9,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",1,14,1,0,30,1,8,Mrs
10,1,3,"Sandstrom, Miss. Marguerite Rut",1,4,1,1,16,0,7,Miss
11,1,1,"Bonnell, Miss. Elizabeth",1,58,0,0,26,0,3,Miss
12,0,3,"Saundercock, Mr. William Henry",0,20,0,0,8,0,8,Mr
13,0,3,"Andersson, Mr. Anders Johan",0,39,1,5,31,0,8,Mr
14,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",1,14,0,0,7,0,8,Miss
15,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",1,55,0,0,16,0,8,Mrs
16,0,3,"Rice, Master. Eugene",0,2,4,1,29,2,8,Master
17,1,2,"Williams, Mr. Charles Eugene",0,26,0,0,13,0,8,Mr
18,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",1,31,1,0,18,0,8,Mrs
19,1,3,"Masselmani, Mrs. Fatima",1,33,0,0,7,1,8,Mrs
20,0,2,"Fynney, Mr. Joseph J",0,35,0,0,26,0,8,Mr
21,1,2,"Beesley, Mr. Lawrence",0,34,0,0,13,0,4,Mr
22,1,3,"McGowan, Miss. Anna ""Annie""",1,15,0,0,8,2,8,Miss
23,1,1,"Sloper, Mr. William Thompson",0,28,0,0,35,0,1,Mr
24,0,3,"Palsson, Miss. Torborg Danira",1,8,3,1,21,0,8,Miss
25,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",1,38,1,5,31,0,8,Mrs
26,0,3,"Emir, Mr. Farred Chehab",0,40,0,0,7,1,8,Mr
27,0,1,"Fortune, Mr. Charles Alexander",0,19,3,2,263,0,3,Mr
28,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",1,33,0,0,7,2,8,Miss
29,0,3,"Todoroff, Mr. Lalio",0,26,0,0,7,0,8,Mr
30,0,1,"Uruchurtu, Don. Manuel E",0,40,0,0,27,1,8,Rare
31,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",1,23,1,0,146,1,2,Mrs
32,1,3,"Glynn, Miss. Mary Agatha",1,40,0,0,7,2,8,Miss
33,0,2,"Wheadon, Mr. Edward H",0,66,0,0,10,0,8,Mr
34,0,1,"Meyer, Mr. Edgar Joseph",0,28,1,0,82,1,8,Mr
35,0,1,"Holverson, Mr. Alexander Oskar",0,42,1,0,52,0,8,Mr
36,1,3,"Mamee, Mr. Hanna",0,32,0,0,7,1,8,Mr
37,0,3,"Cann, Mr. Ernest Charles",0,21,0,0,8,0,8,Mr
38,0,3,"Vander Planke, Miss. Augusta Maria",1,18,2,0,18,0,8,Miss
39,1,3,"Nicola-Yarred, Miss. Jamila",1,14,1,0,11,1,8,Miss
40,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",1,40,1,0,9,0,8,Mrs
41,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",1,27,1,0,21,0,8,Mrs
42,0,3,"Kraeff, Mr. Theodor",0,20,0,0,7,1,8,Mr
43,1,2,"Laroche, Miss. Simonne Marie Anne Andree",1,3,1,2,41,1,8,Miss
44,1,3,"Devaney, Miss. Margaret Delia",1,19,0,0,7,2,8,Miss
45,0,3,"Rogers, Mr. William John",0,23,0,0,8,0,8,Mr
46,0,3,"Lennon, Mr. Denis",0,18,1,0,15,2,8,Mr
47,1,3,"O'Driscoll, Miss. Bridget",1,29,0,0,7,2,8,Miss
48,0,3,"Samaan, Mr. Youssef",0,26,2,0,21,1,8,Mr
49,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",1,18,1,0,17,0,8,Mrs
50,0,3,"Panula, Master. Juha Niilo",0,7,4,1,39,0,8,Master
51,0,3,"Nosworthy, Mr. Richard Cater",0,21,0,0,7,0,8,Mr
52,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",1,49,1,0,76,1,4,Mrs
53,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",1,29,1,0,26,0,8,Mrs
54,0,1,"Ostby, Mr. Engelhart Cornelius",0,65,0,1,61,1,2,Mr
55,1,1,"Woolner, Mr. Hugh",0,29,0,0,35,0,3,Mr
56,1,2,"Rugg, Miss. Emily",1,21,0,0,10,0,8,Miss
57,0,3,"Novel, Mr. Mansouer",0,28,0,0,7,1,8,Mr
58,1,2,"West, Miss. Constance Mirium",1,5,1,2,27,0,8,Miss
59,0,3,"Goodwin, Master. William Frederick",0,11,5,2,46,0,8,Master
60,0,3,"Sirayanian, Mr. Orsen",0,22,0,0,7,1,8,Mr
61,1,1,"Icard, Miss. Amelie",1,38,0,0,80,0,2,Miss
62,0,1,"Harris, Mr. Henry Birkhardt",0,45,1,0,83,0,3,Mr
63,0,3,"Skoog, Master. Harald",0,4,3,2,27,0,8,Master
64,0,1,"Stewart, Mr. Albert A",0,27,0,0,27,1,8,Mr
65,1,3,"Moubarek, Master. Gerios",0,15,1,1,15,1,8,Master
66,1,2,"Nye, Mrs. (Elizabeth Ramell)",1,29,0,0,10,0,6,Mrs
67,0,3,"Crease, Mr. Ernest James",0,19,0,0,8,0,8,Mr
68,1,3,"Andersson, Miss. Erna Alexandra",1,17,4,2,7,0,8,Miss
69,0,3,"Kink, Mr. Vincenz",0,26,2,0,8,0,8,Mr
70,0,2,"Jenkin, Mr. Stephen Curnow",0,32,0,0,10,0,8,Mr
71,0,3,"Goodwin, Miss. Lillian Amy",1,16,5,2,46,0,8,Miss
72,0,2,"Hood, Mr. Ambrose Jr",0,21,0,0,73,0,8,Mr
73,0,3,"Chronopoulos, Mr. Apostolos",0,26,1,0,14,1,8,Mr
74,1,3,"Bing, Mr. Lee",0,32,0,0,56,0,8,Mr
75,0,3,"Moen, Mr. Sigurd Hansen",0,25,0,0,7,0,6,Mr
76,0,3,"Staneff, Mr. Ivan",0,20,0,0,7,0,8,Mr
77,0,3,"Moutal, Mr. Rahamin Haim",0,38,0,0,8,0,8,Mr
78,1,2,"Caldwell, Master. Alden Gates",0,0,0,2,29,0,8,Master
79,1,3,"Dowdell, Miss. Elizabeth",1,30,0,0,12,0,8,Miss
80,0,3,"Waelens, Mr. Achille",0,22,0,0,9,0,8,Mr
81,1,3,"Sheerlinck, Mr. Jan Baptist",0,29,0,0,9,0,8,Mr
82,1,3,"McDermott, Miss. Brigdet Delia",1,36,0,0,7,2,8,Miss
83,0,1,"Carrau, Mr. Francisco M",0,28,0,0,47,0,8,Mr
84,1,2,"Ilett, Miss. Bertha",1,17,0,0,10,0,8,Miss
85,1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",1,33,3,0,15,0,8,Mrs
86,0,3,"Ford, Mr. William Neal",0,16,1,3,34,0,8,Mr
87,0,3,"Slocovski, Mr. Selman Francis",0,32,0,0,8,0,8,Mr
88,1,1,"Fortune, Miss. Mabel Helen",1,23,3,2,263,0,3,Miss
89,0,3,"Celotti, Mr. Francesco",0,24,0,0,8,0,8,Mr
90,0,3,"Christmann, Mr. Emil",0,29,0,0,8,0,8,Mr
91,0,3,"Andreasson, Mr. Paul Edvin",0,20,0,0,7,0,8,Mr
92,0,1,"Chaffee, Mr. Herbert Fuller",0,46,1,0,61,0,5,Mr
93,0,3,"Dean, Mr. Bertram Frank",0,26,1,2,20,0,8,Mr
94,0,3,"Coxon, Mr. Daniel",0,59,0,0,7,0,8,Mr
95,0,3,"Shorney, Mr. Charles Joseph",0,31,0,0,8,0,8,Mr
96,0,1,"Goldschmidt, Mr. George B",0,71,0,0,34,1,1,Mr
97,1,1,"Greenfield, Mr. William Bertram",0,23,0,1,63,1,4,Mr
98,1,2,"Doling, Mrs. John T (Ada Julia Bone)",1,34,0,1,23,0,8,Mrs
99,0,2,"Kantor, Mr. Sinai",0,34,1,0,26,0,8,Mr
100,0,3,"Petranec, Miss. Matilda",1,28,0,0,7,0,8,Miss
101,0,3,"Petroff, Mr. Pastcho (""Pentcho"")",0,22,0,0,7,0,8,Mr
102,0,1,"White, Mr. Richard Frasar",0,21,0,1,77,0,4,Mr
103,0,3,"Johansson, Mr. Gustaf Joel",0,33,0,0,8,0,8,Mr
104,0,3,"Gustafsson, Mr. Anders Vilhelm",0,37,2,0,7,0,8,Mr
105,0,3,"Mionoff, Mr. Stoytcho",0,28,0,0,7,0,8,Mr
106,1,3,"Salkjelsvik, Miss. Anna Kristine",1,21,0,0,7,0,8,Miss
107,1,3,"Moss, Mr. Albert Johan",0,20,0,0,7,0,8,Mr
108,0,3,"Rekic, Mr. Tido",0,38,0,0,7,0,8,Mr
109,1,3,"Moran, Miss. Bertha",1,17,1,0,24,2,8,Miss
110,0,1,"Porter, Mr. Walter Chamberlain",0,47,0,0,52,0,3,Mr
111,0,3,"Zabour, Miss. Hileni",1,14,1,0,14,1,8,Miss
112,0,3,"Barton, Mr. David John",0,22,0,0,8,0,8,Mr
113,0,3,"Jussila, Miss. Katriina",1,20,1,0,9,0,8,Miss
114,0,3,"Attalah, Miss. Malake",1,17,0,0,14,1,8,Miss
115,0,3,"Pekoniemi, Mr. Edvard",0,21,0,0,7,0,8,Mr
116,0,3,"Connors, Mr. Patrick",0,70,0,0,7,2,8,Mr
117,0,2,"Turpin, Mr. William John Robert",0,29,1,0,21,0,8,Mr
118,0,1,"Baxter, Mr. Quigg Edmond",0,24,0,1,247,1,2,Mr
119,0,3,"Andersson, Miss. Ellis Anna Maria",1,2,4,2,31,0,8,Miss
120,0,2,"Hickman, Mr. Stanley George",0,21,2,0,73,0,8,Mr
121,0,3,"Moore, Mr. Leonard Charles",0,38,0,0,8,0,8,Mr
122,0,2,"Nasser, Mr. Nicholas",0,32,1,0,30,1,8,Mr
123,1,2,"Webber, Miss. Susan",1,32,0,0,13,0,5,Miss
124,0,1,"White, Mr. Percival Wayland",0,54,0,1,77,0,4,Mr
125,1,3,"Nicola-Yarred, Master. Elias",0,12,1,0,11,1,8,Master
126,0,3,"McMahon, Mr. Martin",0,24,0,0,7,2,8,Mr
127,1,3,"Madsen, Mr. Fridtjof Arne",0,24,0,0,7,0,8,Mr
128,1,3,"Peter, Miss. Anna",1,33,1,1,22,1,6,Miss
129,0,3,"Ekstrom, Mr. Johan",0,45,0,0,6,0,8,Mr
130,0,3,"Drazenoic, Mr. Jozef",0,33,0,0,7,1,8,Mr
131,0,3,"Coelho, Mr. Domingos Fernandeo",0,20,0,0,7,0,8,Mr
132,0,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",1,47,1,0,14,0,8,Mrs
133,1,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",1,29,1,0,26,0,8,Mrs
134,0,2,"Sobey, Mr. Samuel James Hayden",0,25,0,0,13,0,8,Mr
135,0,2,"Richard, Mr. Emile",0,23,0,0,15,1,8,Mr
136,1,1,"Newsom, Miss. Helen Monypeny",1,19,0,2,26,0,4,Miss
137,0,1,"Futrelle, Mr. Jacques Heath",0,37,1,0,53,0,3,Mr
138,0,3,"Osen, Mr. Olaf Elon",0,16,0,0,9,0,8,Mr
139,0,1,"Giglio, Mr. Victor",0,24,0,0,79,1,2,Mr
140,0,3,"Boulos, Mrs. Joseph (Sultana)",1,38,0,2,15,1,8,Mrs
141,1,3,"Nysten, Miss. Anna Sofia",1,22,0,0,7,0,8,Miss
142,1,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",1,24,1,0,15,0,8,Mrs
143,0,3,"Burke, Mr. Jeremiah",0,19,0,0,6,2,8,Mr
144,0,2,"Andrew, Mr. Edgardo Samuel",0,18,0,0,11,0,8,Mr
145,0,2,"Nicholls, Mr. Joseph Charles",0,19,1,1,36,0,8,Mr
146,1,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",0,27,0,0,7,0,8,Mr
147,0,3,"Ford, Miss. Robina Maggie ""Ruby""",1,9,2,2,34,0,8,Miss
148,0,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",0,36,0,2,26,0,6,Mr
149,0,2,"Byles, Rev. Thomas Roussel Davids",0,42,0,0,13,0,8,Rare
150,0,2,"Bateman, Rev. Robert James",0,51,0,0,12,0,8,Rare
151,1,1,"Pears, Mrs. Thomas (Edith Wearne)",1,22,1,0,66,0,3,Mrs
152,0,3,"Meo, Mr. Alfonzo",0,55,0,0,8,0,8,Mr
153,0,3,"van Billiard, Mr. Austin Blyler",0,40,0,2,14,0,8,Mr
154,0,3,"Olsen, Mr. Ole Martin",0,32,0,0,7,0,8,Mr
155,0,1,"Williams, Mr. Charles Duane",0,51,0,1,61,1,8,Mr
156,1,3,"Gilnagh, Miss. Katherine ""Katie""",1,16,0,0,7,2,8,Miss
157,0,3,"Corn, Mr. Harry",0,30,0,0,8,0,8,Mr
158,0,3,"Smiljanic, Mr. Mile",0,20,0,0,8,0,8,Mr
159,0,3,"Sage, Master. Thomas Henry",0,39,8,2,69,0,8,Master
160,0,3,"Cribb, Mr. John Hatfield",0,44,0,1,16,0,8,Mr
161,1,2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",1,40,0,0,15,0,8,Mrs
162,0,3,"Bengtsson, Mr. John Viktor",0,26,0,0,7,0,8,Mr
163,0,3,"Calic, Mr. Jovo",0,17,0,0,8,0,8,Mr
164,0,3,"Panula, Master. Eino Viljami",0,1,4,1,39,0,8,Master
165,1,3,"Goldsmith, Master. Frank John William ""Frankie""",0,9,0,2,20,0,8,Master
166,1,1,"Chibnall, Mrs. (Edith Martha Bowerman)",1,17,0,1,55,0,5,Mrs
167,0,3,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",1,45,1,4,27,0,8,Mrs
168,0,1,"Baumann, Mr. John D",0,29,0,0,25,0,8,Mr
169,0,3,"Ling, Mr. Lee",0,28,0,0,56,0,8,Mr
170,0,1,"Van der hoef, Mr. Wyckoff",0,61,0,0,33,0,2,Mr
171,0,3,"Rice, Master. Arthur",0,4,4,1,29,2,8,Master
172,1,3,"Johnson, Miss. Eleanor Ileen",1,1,1,1,11,0,8,Miss
173,0,3,"Sivola, Mr. Antti Wilhelm",0,21,0,0,7,0,8,Mr
174,0,1,"Smith, Mr. James Clinch",0,56,0,0,30,1,1,Mr
175,0,3,"Klasen, Mr. Klas Albin",0,18,1,1,7,0,8,Mr
176,0,3,"Lefebre, Master. Henry Forbes",0,41,3,1,25,0,8,Master
177,0,1,"Isham, Miss. Ann Elizabeth",1,50,0,0,28,1,3,Miss
178,0,2,"Hale, Mr. Reginald",0,30,0,0,13,0,8,Mr
179,0,3,"Leonard, Mr. Lionel",0,36,0,0,0,0,8,Mr
180,0,3,"Sage, Miss. Constance Gladys",1,21,8,2,69,0,8,Miss
181,0,2,"Pernot, Mr. Rene",0,36,0,0,15,1,8,Mr
182,0,3,"Asplund, Master. Clarence Gustaf Hugo",0,9,4,2,31,0,8,Master
183,1,2,"Becker, Master. Richard F",0,1,2,1,39,0,6,Master
184,1,3,"Kink-Heilmann, Miss. Luise Gretchen",1,4,0,2,22,0,8,Miss
185,0,1,"Rood, Mr. Hugh Roscoe",0,23,0,0,50,0,1,Mr
186,1,3,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",1,27,1,0,15,2,8,Mrs
187,1,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",0,45,0,0,26,0,8,Mr
188,0,3,"Bourke, Mr. John",0,40,1,1,15,2,8,Mr
189,0,3,"Turcin, Mr. Stjepan",0,36,0,0,7,0,8,Mr
190,1,2,"Pinsky, Mrs. (Rosa)",1,32,0,0,13,0,8,Mrs
191,0,2,"Carbines, Mr. William",0,19,0,0,13,0,8,Mr
192,1,3,"Andersen-Jensen, Miss. Carla Christine Nielsine",1,19,1,0,7,0,8,Miss
193,1,2,"Navratil, Master. Michel M",0,3,1,1,26,0,6,Master
194,1,1,"Brown, Mrs. James Joseph (Margaret Tobin)",1,44,0,0,27,1,2,Mrs
195,1,1,"Lurette, Miss. Elise",1,58,0,0,146,1,2,Miss
196,0,3,"Mernagh, Mr. Robert",0,37,0,0,7,2,8,Mr
197,0,3,"Olsen, Mr. Karl Siegwart Andreas",0,42,0,1,8,0,8,Mr
198,1,3,"Madigan, Miss. Margaret ""Maggie""",1,42,0,0,7,2,8,Miss
199,0,2,"Yrois, Miss. Henriette (""Mrs Harbeck"")",1,24,0,0,13,0,8,Miss
200,0,3,"Vande Walle, Mr. Nestor Cyriel",0,28,0,0,9,0,8,Mr
201,0,3,"Sage, Mr. Frederick",0,33,8,2,69,0,8,Mr
202,0,3,"Johanson, Mr. Jakob Alfred",0,34,0,0,6,0,8,Mr
203,0,3,"Youseff, Mr. Gerious",0,45,0,0,7,1,8,Mr
204,1,3,"Cohen, Mr. Gurshon ""Gus""",0,18,0,0,8,0,8,Mr
205,0,3,"Strom, Miss. Telma Matilda",1,2,0,1,10,0,7,Miss
206,0,3,"Backstrom, Mr. Karl Alfred",0,32,1,0,15,0,8,Mr
207,1,3,"Albimona, Mr. Nassef Cassem",0,26,0,0,18,1,8,Mr
208,1,3,"Carr, Miss. Helen ""Ellen""",1,16,0,0,7,2,8,Miss
209,1,1,"Blank, Mr. Henry",0,40,0,0,31,1,1,Mr
210,0,3,"Ali, Mr. Ahmed",0,24,0,0,7,0,8,Mr
211,1,2,"Cameron, Miss. Clear Annie",1,35,0,0,21,0,8,Miss
212,0,3,"Perkin, Mr. John Henry",0,22,0,0,7,0,8,Mr
213,0,2,"Givard, Mr. Hans Kristensen",0,30,0,0,13,0,8,Mr
214,0,3,"Kiernan, Mr. Philip",0,29,1,0,7,2,8,Mr
215,1,1,"Newell, Miss. Madeleine",1,31,1,0,113,1,4,Miss
216,1,3,"Honkanen, Miss. Eliina",1,27,0,0,7,0,8,Miss
217,0,2,"Jacobsohn, Mr. Sidney Samuel",0,42,1,0,27,0,8,Mr
218,1,1,"Bazzani, Miss. Albina",1,32,0,0,76,1,4,Miss
219,0,2,"Harris, Mr. Walter",0,30,0,0,10,0,8,Mr
220,1,3,"Sunderland, Mr. Victor Francis",0,16,0,0,8,0,8,Mr
221,0,2,"Bracken, Mr. James H",0,27,0,0,13,0,8,Mr
222,0,3,"Green, Mr. George Henry",0,51,0,0,8,0,8,Mr
223,0,3,"Nenkoff, Mr. Christo",0,39,0,0,7,0,8,Mr
224,1,1,"Hoyt, Mr. Frederick Maxfield",0,38,1,0,90,0,3,Mr
225,0,3,"Berglund, Mr. Karl Ivar Sven",0,22,0,0,9,0,8,Mr
226,1,2,"Mellors, Mr. William John",0,19,0,0,10,0,8,Mr
227,0,3,"Lovell, Mr. John Hall (""Henry"")",0,20,0,0,7,0,8,Mr
228,0,2,"Fahlstrom, Mr. Arne Jonas",0,18,0,0,13,0,8,Mr
229,0,3,"Lefebre, Miss. Mathilde",1,17,3,1,25,0,8,Miss
230,1,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",1,35,1,0,83,0,3,Mrs
231,0,3,"Larsson, Mr. Bengt Edvin",0,29,0,0,7,0,8,Mr
232,0,2,"Sjostedt, Mr. Ernst Adolf",0,59,0,0,13,0,8,Mr
233,1,3,"Asplund, Miss. Lillian Gertrud",1,5,4,2,31,0,8,Miss
234,0,2,"Leyson, Mr. Robert William Norman",0,24,0,0,10,0,8,Mr
235,0,3,"Harknett, Miss. Alice Phoebe",1,26,0,0,7,0,8,Miss
236,0,2,"Hold, Mr. Stephen",0,44,1,0,26,0,8,Mr
237,1,2,"Collyer, Miss. Marjorie ""Lottie""",1,8,0,2,26,0,8,Miss
238,0,2,"Pengelly, Mr. Frederick William",0,19,0,0,10,0,8,Mr
239,0,2,"Hunt, Mr. George Henry",0,33,0,0,12,0,8,Mr
240,0,3,"Zabour, Miss. Thamine",1,31,1,0,14,1,8,Miss
241,1,3,"Murphy, Miss. Katherine ""Kate""",1,24,1,0,15,2,8,Miss
242,0,2,"Coleridge, Mr. Reginald Charles",0,29,0,0,10,0,8,Mr
243,0,3,"Maenpaa, Mr. Matti Alexanteri",0,22,0,0,7,0,8,Mr
244,0,3,"Attalah, Mr. Sleiman",0,30,0,0,7,1,8,Mr
245,0,1,"Minahan, Dr. William Edward",0,44,2,0,90,2,3,Rare
246,0,3,"Lindahl, Miss. Agda Thorilda Viktoria",1,25,0,0,7,0,8,Miss
247,1,2,"Hamalainen, Mrs. William (Anna)",1,24,0,2,14,0,8,Mrs
248,1,1,"Beckwith, Mr. Richard Leonard",0,37,1,1,52,0,4,Mr
249,0,2,"Carter, Rev. Ernest Courtenay",0,54,1,0,26,0,8,Rare
250,0,3,"Reed, Mr. James George",0,18,0,0,7,0,8,Mr
251,0,3,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",1,29,1,1,10,0,7,Mrs
252,0,1,"Stead, Mr. William Thomas",0,62,0,0,26,0,3,Mr
253,0,3,"Lobb, Mr. William Arthur",0,30,1,0,16,0,8,Mr
254,0,3,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",1,41,0,2,20,0,8,Mrs
255,1,3,"Touma, Mrs. Darwis (Hanne Youssef Razi)",1,29,0,2,15,1,8,Mrs
256,1,1,"Thorne, Mrs. Gertrude Maybelle",1,29,0,0,79,1,8,Mrs
257,1,1,"Cherry, Miss. Gladys",1,30,0,0,86,0,2,Miss
258,1,1,"Ward, Miss. Anna",1,35,0,0,512,1,8,Miss
259,1,2,"Parrish, Mrs. (Lutie Davis)",1,50,0,1,26,0,8,Mrs
260,0,3,"Smith, Mr. Thomas",0,39,0,0,7,2,8,Mr
261,1,3,"Asplund, Master. Edvin Rojj Felix",0,3,4,2,31,0,8,Master
262,0,1,"Taussig, Mr. Emil",0,52,1,1,79,0,5,Mr
263,0,1,"Harrison, Mr. William",0,40,0,0,0,0,2,Mr
264,0,3,"Henry, Miss. Delia",1,21,0,0,7,2,8,Miss
