Survived,Pclass,Ticket,Age_18_50,Age_greater_50,Age_less_18,Fare_High,Fare_Low,Fare_Medium,Fare_Very Low,Cabin_AFG,Cabin_BCDE,Cabin_Z,Embarked_C,Embarked_Q,Embarked_S,Family_Big,Family_Medium,Family_Single,Title_Miss,Title_Mr,Title_Mrs,Title_Other,Sex
0,3,3,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0
1,2,2,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1
1,3,4,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
1,1,3,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
1,2,2,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1
1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
1,3,2,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1
1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
0,2,3,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
0,3,4,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0
1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
0,3,2,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
1,3,3,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0
0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
1,2,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1
0,3,3,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0
1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
0,3,3,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
0,2,2,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
0,3,2,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
0,3,3,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
0,2,2,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
0,3,3,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0
1,3,2,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1
0,3,3,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
0,3,3,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
1,2,3,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1
1,2,4,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1
0,3,4,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1
0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
0,2,3,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
0,3,3,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0
0,3,3,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
1,3,3,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1
0,3,2,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0
0,2,2,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
0,3,3,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
1,3,4,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1
1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
0,3,4,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1
1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0
0,3,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
1,3,3,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
0,3,4,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
0,3,3,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
0,3,4,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
0,3,2,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
1,1,3,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
0,3,4,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
0,3,3,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
0,3,3,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
0,3,3,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1
0,3,3,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1
0,3,4,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1
1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1
0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
1,2,2,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1
1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
0,3,4,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
1,3,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
1,3,3,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0
0,3,3,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1
0,3,3,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
0,1,3,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
1,2,3,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1
0,3,3,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
1,2,2,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1
0,3,3,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1
0,3,3,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
0,3,2,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0
1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1
0,3,2,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0
0,3,3,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0
1,2,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1
0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
0,3,3,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
0,2,2,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
1,2,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1
0,3,2,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0
0,3,2,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0
1,3,2,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1
0,3,3,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1
1,2,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1
0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1
0,3,3,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
1,1,4,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1
0,3,3,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1
0,3,3,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1
1,2,2,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
0,1,4,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
1,2,2,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1
1,2,2,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
0,3,3,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
1,2,3,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
0,2,2,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
0,3,3,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0
1,3,2,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0
1,3,3,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1
0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1
0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
1,3,3,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1
0,3,3,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0
0,3,3,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
0,2,2,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
0,3,3,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
0,3,3,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1
0,3,4,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
0,3,3,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
0,3,3,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1
0,3,2,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0
1,3,3,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
1,2,4,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
1,3,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1
0,3,2,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
0,3,3,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
1,2,2,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1
1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
0,3,2,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1
1,3,3,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
1,2,2,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1
1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1
0,2,2,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
0,3,3,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0
1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1
0,2,2,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
0,3,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
0,3,3,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
0,3,3,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
1,1,3,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1
0,3,3,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
0,3,3,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1
0,2,2,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
0,3,3,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
1,2,2,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1
0,3,4,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
0,3,2,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0
1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
1,2,2,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1
0,3,3,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
0,3,3,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
0,3,3,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
0,3,3,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
1,2,2,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1
1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1
0,3,3,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1
0,3,3,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
1,3,3,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1
0,3,3,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0
0,3,3,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
1,2,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1
0,3,3,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
0,3,3,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1
1,2,2,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1
0,2,3,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
0,3,2,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
1,3,2,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
0,3,3,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
0,3,4,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
0,1,3,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
0,2,2,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1
0,3,3,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
0,3,3,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0
1,1,2,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
0,3,3,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
0,3,3,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1
1,2,2,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1
0,3,3,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
0,2,3,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
0,3,3,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1
0,3,3,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
0,3,3,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1
0,3,3,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1
1,3,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
1,3,2,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1
1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
0,3,3,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
0,3,4,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
1,3,2,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1
0,3,3,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
1,2,2,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1
0,3,4,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
1,3,3,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1
0,3,3,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1
0,2,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
0,3,3,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
0,3,3,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
0,2,2,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
0,1,3,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
0,3,2,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0
0,1,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
0,3,3,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
1,3,3,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0
0,2,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
