Survived,Pclass,Sex,SibSp,Parch,Fare,Embarked,Deck,countDeck,Title,port_sex,Age_bin,FamilySize,Ticket_freq
0,3,male,1,0,7,S,U,1014,Mr,623,2,Small,1
1,1,female,1,0,71,C,C,94,Mrs,113,7,Small,2
1,3,female,0,0,7,S,U,1014,Miss,293,4,Alone,1
1,1,female,1,0,53,S,C,94,Mrs,293,6,Small,2
0,3,male,0,0,8,S,U,1014,Mr,623,6,Alone,1
0,3,male,0,0,8,Q,U,1014,Mr,63,7,Alone,1
0,1,male,0,0,51,S,E,41,Mr,623,9,Alone,2
0,3,male,3,1,21,S,U,1014,Master,623,0,Medium,5
1,3,female,0,2,11,S,U,1014,Mrs,293,4,Small,3
1,2,female,1,0,30,C,U,1014,Mrs,113,0,Small,2
1,3,female,1,1,16,S,G,5,Miss,293,0,Small,3
1,1,female,0,0,26,S,C,94,Miss,293,9,Alone,1
0,3,male,0,0,8,S,U,1014,Mr,623,2,Alone,1
0,3,male,1,5,31,S,U,1014,Mr,623,7,Large,7
0,3,female,0,0,7,S,U,1014,Miss,293,0,Alone,1
1,2,female,0,0,16,S,U,1014,Mrs,293,9,Alone,1
0,3,male,4,1,29,Q,U,1014,Master,63,0,Medium,6
1,2,male,0,0,13,S,U,1014,Mr,623,3,Alone,1
0,3,female,1,0,18,S,U,1014,Mrs,293,5,Small,2
1,3,female,0,0,7,C,U,1014,Mrs,113,4,Alone,1
0,2,male,0,0,26,S,U,1014,Mr,623,6,Alone,2
1,2,male,0,0,13,S,D,46,Mr,623,6,Alone,1
1,3,female,0,0,8,Q,U,1014,Miss,60,0,Alone,1
1,1,male,0,0,35,S,A,22,Mr,623,4,Alone,1
0,3,female,3,1,21,S,U,1014,Miss,293,0,Medium,5
1,3,female,1,5,31,S,U,1014,Mrs,293,7,Large,7
0,3,male,0,0,7,C,U,1014,Mr,157,3,Alone,1
0,1,male,3,2,263,S,C,94,Mr,623,1,Medium,6
1,3,female,0,0,7,Q,U,1014,Miss,60,3,Alone,1
0,3,male,0,0,7,S,U,1014,Mr,623,6,Alone,1
0,1,male,0,0,27,C,U,1014,Rare,157,7,Alone,1
1,1,female,1,0,146,C,B,65,Mrs,113,8,Small,3
1,3,female,0,0,7,Q,U,1014,Miss,60,3,Alone,1
0,2,male,0,0,10,S,U,1014,Mr,623,9,Alone,1
0,1,male,1,0,82,C,U,1014,Mr,157,4,Small,2
0,1,male,1,0,52,S,U,1014,Mr,623,8,Small,2
1,3,male,0,0,7,C,U,1014,Mr,157,0,Alone,1
0,3,male,0,0,8,S,U,1014,Mr,623,2,Alone,1
0,3,female,2,0,18,S,U,1014,Miss,293,1,Small,2
1,3,female,1,0,11,C,U,1014,Miss,113,0,Small,2
0,3,female,1,0,9,S,U,1014,Mrs,293,7,Small,1
0,2,female,1,0,21,S,U,1014,Mrs,293,4,Small,2
0,3,male,0,0,7,C,U,1014,Mr,157,6,Alone,1
1,2,female,1,2,41,C,U,1014,Miss,113,0,Small,4
1,3,female,0,0,7,Q,U,1014,Miss,60,1,Alone,1
0,3,male,0,0,8,S,U,1014,Mr,623,2,Alone,1
0,3,male,1,0,15,Q,U,1014,Mr,63,8,Small,2
1,3,female,0,0,7,Q,U,1014,Miss,60,7,Alone,1
0,3,male,2,0,21,C,U,1014,Mr,157,7,Small,3
0,3,female,1,0,17,S,U,1014,Mrs,293,1,Small,2
0,3,male,4,1,39,S,U,1014,Master,623,0,Medium,7
0,3,male,0,0,7,S,U,1014,Mr,623,2,Alone,1
1,1,female,1,0,76,C,D,46,Mrs,113,9,Small,3
1,2,female,1,0,26,S,U,1014,Mrs,293,5,Small,2
0,1,male,0,1,61,C,B,65,Mr,157,9,Small,2
1,1,male,0,0,35,S,C,94,Mr,623,8,Alone,1
1,2,female,0,0,10,S,U,1014,Miss,293,2,Alone,1
0,3,male,0,0,7,C,U,1014,Mr,157,4,Alone,1
1,2,female,1,2,27,S,U,1014,Miss,293,0,Small,4
0,3,male,5,2,46,S,U,1014,Master,623,0,Large,8
0,3,male,0,0,7,C,U,1014,Mr,157,2,Alone,1
1,1,female,0,0,80,S,B,65,Miss,293,7,Alone,2
0,1,male,1,0,83,S,C,94,Mr,623,8,Small,2
0,3,male,3,2,27,S,U,1014,Master,623,0,Medium,6
0,1,male,0,0,27,C,U,1014,Mr,157,0,Alone,1
1,3,male,1,1,15,C,U,1014,Master,157,4,Small,3
1,2,female,0,0,10,S,F,21,Mrs,293,5,Alone,1
0,3,male,0,0,8,S,U,1014,Mr,623,1,Alone,1
1,3,female,4,2,7,S,U,1014,Miss,293,1,Large,1
0,3,male,2,0,8,S,U,1014,Mr,623,4,Small,1
0,2,male,0,0,10,S,U,1014,Mr,623,6,Alone,1
0,3,female,5,2,46,S,U,1014,Miss,293,0,Large,8
0,2,male,0,0,73,S,U,1014,Mr,623,2,Alone,7
0,3,male,1,0,14,C,U,1014,Mr,157,4,Small,2
1,3,male,0,0,56,S,U,1014,Mr,623,6,Alone,8
0,3,male,0,0,7,S,F,21,Mr,623,3,Alone,1
0,3,male,0,0,7,S,U,1014,Mr,623,5,Alone,1
0,3,male,0,0,8,S,U,1014,Mr,623,0,Alone,1
1,2,male,0,2,29,S,U,1014,Master,623,0,Small,3
1,3,female,0,0,12,S,U,1014,Miss,293,5,Alone,2
0,3,male,0,0,9,S,U,1014,Mr,623,2,Alone,1
1,3,male,0,0,9,S,U,1014,Mr,623,5,Alone,1
1,3,female,0,0,7,Q,U,1014,Miss,60,8,Alone,1
0,1,male,0,0,47,S,U,1014,Mr,623,4,Alone,2
1,2,female,0,0,10,S,U,1014,Miss,293,1,Alone,1
1,3,female,3,0,15,S,U,1014,Mrs,293,6,Small,2
0,3,male,1,3,34,S,U,1014,Mr,623,0,Medium,5
0,3,male,0,0,8,S,U,1014,Mr,623,7,Alone,1
1,1,female,3,2,263,S,C,94,Miss,293,3,Medium,6
0,3,male,0,0,8,S,U,1014,Mr,623,3,Alone,1
0,3,male,0,0,8,S,U,1014,Mr,623,5,Alone,1
0,3,male,0,0,7,S,U,1014,Mr,623,2,Alone,1
0,1,male,1,0,61,S,E,41,Mr,623,8,Small,2
0,3,male,1,2,20,S,U,1014,Mr,623,4,Small,4
0,3,male,0,0,7,S,U,1014,Mr,623,9,Alone,1
0,3,male,0,0,8,S,U,1014,Mr,623,3,Alone,1
0,1,male,0,0,34,C,A,22,Mr,157,9,Alone,1
1,1,male,0,1,63,C,D,46,Mr,157,3,Small,2
1,2,female,0,1,23,S,U,1014,Mrs,293,6,Small,2
0,2,male,1,0,26,S,U,1014,Mr,623,6,Small,2
0,3,female,0,0,7,S,U,1014,Miss,293,4,Alone,1
0,3,male,0,0,7,S,U,1014,Mr,623,7,Alone,1
0,1,male,0,1,77,S,D,46,Mr,623,2,Small,2
0,3,male,0,0,8,S,U,1014,Mr,623,6,Alone,1
0,3,male,2,0,7,S,U,1014,Mr,623,7,Small,1
0,3,male,0,0,7,S,U,1014,Mr,623,4,Alone,1
1,3,female,0,0,7,S,U,1014,Miss,293,2,Alone,1
1,3,male,0,0,7,S,U,1014,Mr,623,1,Alone,1
0,3,male,0,0,7,S,U,1014,Mr,623,7,Alone,1
1,3,female,1,0,24,Q,U,1014,Miss,60,5,Small,3
0,1,male,0,0,52,S,C,94,Mr,623,8,Alone,2
0,3,female,1,0,14,C,U,1014,Miss,113,0,Small,2
0,3,male,0,0,8,S,U,1014,Mr,623,2,Alone,1
0,3,female,1,0,9,S,U,1014,Miss,293,2,Small,1
0,3,female,0,0,14,C,U,1014,Miss,113,1,Alone,2
0,3,male,0,0,7,S,U,1014,Mr,623,2,Alone,1
0,3,male,0,0,7,Q,U,1014,Mr,63,9,Alone,1
0,2,male,1,0,21,S,U,1014,Mr,623,5,Small,2
0,1,male,0,1,247,C,B,65,Mr,157,3,Small,3
0,3,female,4,2,31,S,U,1014,Miss,293,0,Large,7
0,2,male,2,0,73,S,U,1014,Mr,623,2,Small,7
0,3,male,0,0,8,S,U,1014,Mr,623,4,Alone,1
0,2,male,1,0,30,C,U,1014,Mr,157,6,Small,2
1,2,female,0,0,13,S,E,41,Miss,293,6,Alone,1
0,1,male,0,1,77,S,D,46,Mr,623,9,Small,2
1,3,male,1,0,11,C,U,1014,Master,157,0,Small,2
0,3,male,0,0,7,Q,U,1014,Mr,63,5,Alone,1
1,3,male,0,0,7,S,U,1014,Mr,623,3,Alone,1
1,3,female,1,1,22,C,F,21,Miss,113,2,Small,3
0,3,male,0,0,6,S,U,1014,Mr,623,8,Alone,1
0,3,male,0,0,7,C,U,1014,Mr,157,6,Alone,1
0,3,male,0,0,7,S,U,1014,Mr,623,2,Alone,1
0,3,female,1,0,14,S,U,1014,Mrs,293,8,Small,2
1,2,female,1,0,26,S,U,1014,Mrs,293,5,Small,2
0,2,male,0,0,13,S,U,1014,Mr,623,3,Alone,1
0,2,male,0,0,15,C,U,1014,Mr,157,3,Alone,1
1,1,female,0,2,26,S,D,46,Miss,293,1,Small,1
0,1,male,1,0,53,S,C,94,Mr,623,7,Small,2
0,3,male,0,0,9,S,U,1014,Mr,623,0,Alone,2
0,1,male,0,0,79,C,B,65,Mr,157,3,Alone,2
0,3,female,0,2,15,C,U,1014,Mrs,113,4,Small,3
1,3,female,0,0,7,S,U,1014,Miss,293,2,Alone,1
1,3,female,1,0,15,S,U,1014,Mrs,293,3,Small,2
0,3,male,0,0,6,Q,U,1014,Mr,63,1,Alone,1
0,2,male,0,0,11,S,U,1014,Mr,623,1,Alone,1
0,2,male,1,1,36,S,U,1014,Mr,623,1,Small,4
1,3,male,0,0,7,S,U,1014,Mr,623,4,Alone,1
0,3,female,2,2,34,S,U,1014,Miss,293,0,Medium,5
0,2,male,0,2,26,S,F,21,Mr,623,7,Small,3
0,2,male,0,0,13,S,U,1014,Rare,623,8,Alone,1
0,2,male,0,0,12,S,U,1014,Rare,623,9,Alone,1
1,1,female,1,0,66,S,C,94,Mrs,293,2,Small,2
0,3,male,0,0,8,S,U,1014,Mr,623,9,Alone,1
0,3,male,0,2,14,S,U,1014,Mr,623,7,Small,3
0,3,male,0,0,7,S,U,1014,Mr,623,7,Alone,1
0,1,male,0,1,61,C,U,1014,Mr,157,9,Small,2
1,3,female,0,0,7,Q,U,1014,Miss,60,0,Alone,1
0,3,male,0,0,8,S,U,1014,Mr,623,5,Alone,1
0,3,male,0,0,8,S,U,1014,Mr,623,3,Alone,1
0,3,male,8,2,69,S,U,1014,Master,623,1,Large,11
0,3,male,0,1,16,S,U,1014,Mr,623,8,Small,2
1,2,female,0,0,15,S,U,1014,Mrs,293,7,Alone,2
0,3,male,0,0,7,S,U,1014,Mr,623,4,Alone,1
0,3,male,0,0,8,S,U,1014,Mr,623,1,Alone,1
0,3,male,4,1,39,S,U,1014,Master,623,0,Medium,7
1,3,male,0,2,20,S,U,1014,Master,623,0,Small,3
1,1,female,0,1,55,S,E,41,Mrs,293,4,Small,2
0,3,female,1,4,27,S,U,1014,Mrs,293,8,Medium,6
0,1,male,0,0,25,S,U,1014,Mr,623,7,Alone,1
0,3,male,0,0,56,S,U,1014,Mr,623,4,Alone,8
0,1,male,0,0,33,S,B,65,Mr,623,9,Alone,1
0,3,male,4,1,29,Q,U,1014,Master,63,0,Medium,6
1,3,female,1,1,11,S,U,1014,Miss,293,0,Small,3
0,3,male,0,0,7,S,U,1014,Mr,623,2,Alone,1
0,1,male,0,0,30,C,A,22,Mr,157,9,Alone,1
0,3,male,1,1,7,S,U,1014,Mr,623,1,Small,1
0,3,male,3,1,25,S,U,1014,Master,623,7,Medium,5
0,1,female,0,0,28,C,C,94,Miss,113,9,Alone,1
0,2,male,0,0,13,S,U,1014,Mr,623,5,Alone,1
0,3,male,0,0,0,S,U,1014,Mr,623,7,Alone,4
0,3,female,8,2,69,S,U,1014,Miss,293,6,Large,11
0,2,male,0,0,15,C,U,1014,Mr,157,5,Alone,1
0,3,male,4,2,31,S,U,1014,Master,623,0,Large,7
1,2,male,2,1,39,S,F,21,Master,623,0,Small,4
1,3,female,0,2,22,S,U,1014,Miss,293,0,Small,3
0,1,male,0,0,50,S,A,22,Mr,623,7,Alone,1
1,3,female,1,0,15,Q,U,1014,Mrs,60,8,Small,2
1,1,male,0,0,26,S,U,1014,Mr,623,8,Alone,1
0,3,male,1,1,15,Q,U,1014,Mr,63,7,Small,2
0,3,male,0,0,7,S,U,1014,Mr,623,7,Alone,1
1,2,female,0,0,13,S,U,1014,Mrs,293,6,Alone,1
0,2,male,0,0,13,S,U,1014,Mr,623,1,Alone,1
1,3,female,1,0,7,S,U,1014,Miss,293,1,Small,1
1,2,male,1,1,26,S,F,21,Master,623,0,Small,3
1,1,female,0,0,27,C,B,65,Mrs,113,8,Alone,1
1,1,female,0,0,146,C,B,65,Miss,113,9,Alone,3
0,3,male,0,0,7,Q,U,1014,Mr,63,6,Alone,1
0,3,male,0,1,8,S,U,1014,Mr,623,8,Small,1
1,3,female,0,0,7,Q,U,1014,Miss,60,3,Alone,1
0,2,female,0,0,13,S,U,1014,Miss,293,3,Alone,1
0,3,male,0,0,9,S,U,1014,Mr,623,4,Alone,1
0,3,male,8,2,69,S,U,1014,Mr,623,4,Large,11
0,3,male,0,0,6,S,U,1014,Mr,623,6,Alone,1
0,3,male,0,0,7,C,U,1014,Mr,157,8,Alone,1
1,3,male,0,0,8,S,U,1014,Mr,623,1,Alone,1
0,3,female,0,1,10,S,G,5,Miss,293,0,Small,2
0,3,male,1,0,15,S,U,1014,Mr,623,6,Small,2
1,3,male,0,0,18,C,U,1014,Mr,157,4,Alone,2
1,3,female,0,0,7,Q,U,1014,Miss,60,0,Alone,1
1,1,male,0,0,31,C,A,22,Mr,157,7,Alone,1
0,3,male,0,0,7,S,U,1014,Mr,623,3,Alone,1
1,2,female,0,0,21,S,U,1014,Miss,293,6,Alone,2
0,3,male,0,0,7,S,U,1014,Mr,623,2,Alone,1
0,2,male,0,0,13,S,U,1014,Mr,623,5,Alone,1
0,3,male,1,0,7,Q,U,1014,Mr,63,8,Small,1
1,1,female,1,0,113,C,D,46,Miss,113,5,Small,3
1,3,female,0,0,7,S,U,1014,Miss,293,4,Alone,1
0,2,male,1,0,27,S,U,1014,Mr,623,8,Small,2
1,1,female,0,0,76,C,D,46,Miss,113,6,Alone,2
0,2,male,0,0,10,S,U,1014,Mr,623,5,Alone,1
1,3,male,0,0,8,S,U,1014,Mr,623,0,Alone,1
0,2,male,0,0,13,S,U,1014,Mr,623,4,Alone,1
0,3,male,0,0,8,S,U,1014,Mr,623,9,Alone,1
0,3,male,0,0,7,S,U,1014,Mr,623,3,Alone,1
1,1,male,1,0,90,S,C,94,Mr,623,7,Small,2
0,3,male,0,0,9,S,U,1014,Mr,623,2,Alone,1
1,2,male,0,0,10,S,U,1014,Mr,623,1,Alone,1
0,3,male,0,0,7,S,U,1014,Mr,623,2,Alone,1
0,2,male,0,0,13,S,U,1014,Mr,623,1,Alone,1
0,3,female,3,1,25,S,U,1014,Miss,293,7,Medium,5
1,1,female,1,0,83,S,C,94,Mrs,293,6,Small,2
0,3,male,0,0,7,S,U,1014,Mr,623,5,Alone,1
0,2,male,0,0,13,S,U,1014,Mr,623,9,Alone,1
1,3,female,4,2,31,S,U,1014,Miss,293,0,Large,7
0,2,male,0,0,10,S,U,1014,Mr,623,3,Alone,1
0,3,female,0,0,7,S,U,1014,Miss,293,2,Alone,1
0,2,male,1,0,26,S,U,1014,Mr,623,8,Small,2
1,2,female,0,2,26,S,U,1014,Miss,293,0,Small,3
0,2,male,0,0,10,S,U,1014,Mr,623,1,Alone,1
0,2,male,0,0,12,S,U,1014,Mr,623,6,Alone,1
0,3,female,1,0,14,C,U,1014,Miss,113,3,Small,2
1,3,female,1,0,15,Q,U,1014,Miss,60,8,Small,2
0,2,male,0,0,10,S,U,1014,Mr,623,5,Alone,1
0,3,male,0,0,7,S,U,1014,Mr,623,2,Alone,1
0,3,male,0,0,7,C,U,1014,Mr,157,5,Alone,1
0,1,male,2,0,90,Q,C,94,Rare,63,8,Small,3
0,3,female,0,0,7,S,U,1014,Miss,293,3,Alone,1
1,2,female,0,2,14,S,U,1014,Mrs,293,3,Small,2
1,1,male,1,1,52,S,D,46,Mr,623,7,Small,2
0,2,male,1,0,26,S,U,1014,Rare,623,9,Small,2
0,3,male,0,0,7,S,U,1014,Mr,623,3,Alone,1
0,3,female,1,1,10,S,G,5,Mrs,293,5,Small,2
0,1,male,0,0,26,S,C,94,Mr,623,9,Alone,1
0,3,male,1,0,16,S,U,1014,Mr,623,5,Small,2
0,3,female,0,2,20,S,U,1014,Mrs,293,8,Small,3
1,3,female,0,2,15,C,U,1014,Mrs,113,5,Small,3
1,1,female,0,0,79,C,U,1014,Mrs,113,0,Alone,2
1,1,female,0,0,86,S,B,65,Miss,293,5,Alone,3
1,1,female,0,0,512,C,U,1014,Miss,113,6,Alone,4
1,2,female,0,1,26,S,U,1014,Mrs,293,9,Small,2
0,3,male,0,0,7,Q,U,1014,Mr,63,6,Alone,1
1,3,male,4,2,31,S,U,1014,Master,623,0,Large,7
0,1,male,1,1,79,S,E,41,Mr,623,9,Small,3
0,1,male,0,0,0,S,B,65,Mr,623,7,Alone,1
0,3,female,0,0,7,Q,U,1014,Miss,60,7,Alone,1
0,2,male,0,0,10,S,U,1014,Mr,623,7,Alone,1
0,3,male,4,1,39,S,U,1014,Mr,623,0,Medium,7
1,3,male,1,0,7,S,U,1014,Mr,623,3,Small,1
1,1,female,0,1,153,S,C,94,Mrs,293,9,Small,3
1,1,female,0,0,135,S,C,94,Miss,293,6,Alone,4
0,1,male,0,0,31,S,U,1014,Mr,623,7,Alone,2
1,3,male,0,0,0,S,U,1014,Mr,623,3,Alone,4
1,2,female,0,1,19,S,U,1014,Mrs,293,8,Small,2
0,1,male,0,1,29,C,C,94,Mr,157,7,Small,1
1,3,female,0,0,7,Q,U,1014,Miss,60,7,Alone,1
1,1,female,1,0,77,S,D,46,Miss,293,9,Small,3
0,3,female,0,0,7,S,U,1014,Miss,293,8,Alone,1
0,2,male,0,0,0,S,U,1014,Mr,623,3,Alone,3
0,3,male,4,1,29,Q,U,1014,Master,63,0,Medium,6
1,3,female,1,1,20,S,U,1014,Mrs,293,6,Small,3
0,3,male,0,0,7,Q,U,1014,Mr,63,9,Alone,1
0,3,male,0,0,7,S,U,1014,Mr,623,4,Alone,1
0,3,male,0,0,9,S,U,1014,Mr,623,0,Alone,1
1,3,male,0,0,8,S,U,1014,Mr,623,1,Alone,1
0,1,male,0,0,26,S,A,22,Mr,623,1,Alone,1
0,3,male,0,0,8,C,U,1014,Mr,157,6,Alone,1
1,3,male,0,0,9,S,U,1014,Mr,623,5,Alone,1
0,3,male,0,0,7,S,U,1014,Mr,623,2,Alone,1
1,2,male,0,0,13,S,U,1014,Mr,623,8,Alone,1
1,3,female,0,0,7,Q,U,1014,Miss,60,2,Alone,1
1,1,female,0,0,78,S,U,1014,Miss,293,4,Alone,3
1,1,female,1,0,91,C,B,65,Mrs,113,1,Small,2
0,2,male,0,0,12,C,D,46,Mr,157,7,Alone,1
0,3,female,0,0,8,S,U,1014,Miss,293,3,Alone,1
0,3,male,0,0,7,S,U,1014,Mr,623,3,Alone,1
0,1,male,0,0,27,C,U,1014,Mr,157,7,Alone,1
0,3,male,0,0,7,C,U,1014,Mr,157,3,Alone,1
0,1,female,1,2,151,S,C,94,Miss,293,0,Small,6
1,1,male,0,0,30,S,C,94,Mr,623,6,Alone,1
1,1,female,0,1,247,C,B,65,Mrs,113,9,Small,3
1,3,female,0,0,7,Q,U,1014,Miss,60,6,Alone,1
1,3,male,2,0,23,Q,U,1014,Mr,63,0,Small,3
0,3,male,0,0,0,S,U,1014,Mr,623,1,Alone,4
1,2,female,0,0,12,Q,E,41,Miss,60,6,Alone,1
0,3,male,0,0,8,S,U,1014,Mr,623,0,Alone,1
1,1,male,1,2,151,S,C,94,Master,623,0,Small,6
1,1,female,0,0,110,C,U,1014,Miss,113,4,Alone,4
1,1,female,1,0,108,C,C,94,Mrs,113,1,Small,3
0,2,male,1,0,24,C,U,1014,Mr,157,5,Small,2
1,1,female,0,0,56,C,E,41,Miss,113,5,Alone,2
1,1,female,0,0,83,C,C,94,Miss,113,3,Alone,3
1,1,female,2,2,262,C,B,65,Miss,113,1,Medium,7
0,2,female,1,1,26,S,U,1014,Mrs,293,4,Small,2
0,3,male,0,0,7,S,U,1014,Mr,623,4,Alone,1
0,2,male,1,1,26,S,U,1014,Mr,623,8,Small,3
1,3,female,0,0,7,S,U,1014,Miss,293,4,Alone,1
1,2,female,1,0,26,S,U,1014,Mrs,293,3,Small,2
0,2,male,0,0,14,S,U,1014,Rare,623,9,Alone,1
1,1,female,0,2,164,S,C,94,Miss,293,5,Small,4
1,1,female,1,1,134,C,E,41,Mrs,113,7,Small,5
0,3,male,0,0,7,S,U,1014,Mr,623,2,Alone,1
0,3,male,0,0,7,S,U,1014,Mr,623,4,Alone,1
1,2,female,0,0,12,Q,U,1014,Miss,60,5,Alone,1
1,2,female,1,1,29,S,U,1014,Mrs,293,2,Small,3
0,3,male,8,2,69,S,U,1014,Mr,623,2,Large,11
1,1,female,0,0,135,C,C,94,Miss,113,7,Alone,4
